"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"스페인",50596400,46441049,1311320015516,28156.82,3.05,21.99,6.354,8.7,81.83,58,34.3,65.7,1.3,32.46,8.08
"슬로바키아",4903500,5450987,95769031980.1,17604.95,3.4,23.58,6.198,12.8,77.21,50,26.1,46.3,1.5,29.54,7.1
"슬로베니아",2027000,2081900,48769655479.2,23597.29,5,22.31,6.118,18.6,78.5,60,25.9,55.1,1.6,22.57,7.5
"시리아",18518000,18499181,NA,NA,NA,71.78,3.462,1.9,76.22,13,NA,NA,2.9,63.59,1.43
"시에라리온",7230000,7883123,3774270392.4,499.43,4.16,30.36,4.374,9.7,59.01,30,32,58.7,4.4,NA,NA
"신트마르텐",NA,NA,NA,NA,NA,NA,NA,NA,78.47,NA,NA,NA,NA,NA,NA
"신트마틴(네덜란드어부분)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"싱가포르",71900,5868104,323907234412.3,57714.3,3.62,51.41,6.262,9.9,85.47,85,39.8,73.3,1.2,21.47,6.38
"아랍에미리트",8360000,9682088,382575085091.9,40698.85,0.79,43.63,6.825,2.8,77.83,70,NA,NA,1.7,16.32,NA
"아루바",18000,NA,NA,NA,NA,NA,NA,NA,77.14,NA,NA,NA,1.8,NA,NA
"아르메니아",2974000,2936706,11536590635.8,3936.8,7.5,28.98,4.559,6.6,75,35,36,58.3,1.6,22,4.79
"아르헨티나",278040000,45101781,637590419269.3,14401.97,2.86,28.3,6.086,9.2,78.2,40,38.6,72.3,2.3,62.55,7.02
"아이보리해안",NA,NA,NA,NA,NA,29.52,4.944,NA,59.29,35,NA,NA,4.8,NA,NA
"아이슬란드",10300000,340566,23909289978.6,70056.87,3.64,14.71,7.494,14,81.61,76,24.4,46.7,1.7,23.28,9.58
"아이티",2775000,11242856,8408150518,765.68,1.17,29,3.597,11.7,64.45,20,NA,NA,2.9,NA,4.91
"아일랜드",7028000,4847139,333730764773.2,69330.69,7.8,15,7.021,11.5,81.01,73,30.3,81.3,1.8,44.52,9.15
"아제르바이잔",8660000,10014575,40747792238,4131.62,0.1,59.13,5.208,2.6,73.03,25,38.6,51,1.9,31.67,2.65
"아프가니스탄",65286000,37209007,20815300220,NA,2.6,36.55,3.203,4.7,52.07,16,NA,NA,4.5,76.63,2.97
"안길라",9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"안도라",47000,NA,3012914131.2,NA,1.87,24.63,NA,NA,82.91,NA,NA,NA,1.3,NA,NA
"알바니아",2875000,2938428,13039352744,4537.86,3.84,29.84,4.719,6.3,78.63,36,38.6,44.8,1.7,40.3,5.98
"알제리",238174000,42679018,170370810918,4123.39,1.7,45.75,5.211,3.2,76.06,35,32.2,75.8,2.7,48.33,3.5
"앙골라",124670000,31787566,124209385825.2,4170.31,0.72,34.96,NA,4.7,56.74,19,NA,NA,5.6,NA,3.62
"앤티가바부다",44000,NA,1532397555.6,NA,3.34,NA,NA,0.5,76.92,NA,NA,NA,2,NA,NA
"앤틸리스",80000,NA,NA,NA,NA,NA,NA,NA,78.64,NA,NA,NA,NA,NA,NA
"앵귈라",NA,NA,NA,NA,NA,NA,NA,NA,81.59,NA,NA,NA,NA,NA,NA
"에리트레아",11760000,5309659,NA,NA,NA,80.26,NA,7.9,64.72,24,NA,NA,4.1,NA,2.37
"에스와티니",1736000,1415414,4408564260.2,3224.39,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"에스토니아",4523000,1303798,25921079612.3,19704.66,4.85,12.27,5.893,17.8,74.98,73,34.7,56.4,1.6,20.8,7.97
"에콰도르",25637000,17100444,103056619000,6198.95,3,31.88,6.028,7.1,77.14,34,NA,NA,2.5,48.98,6.27
"에티오피아",110430000,110135635,80561496133.9,767.56,10.25,35.11,4.286,7.2,58.72,34,NA,NA,4.1,47.18,3.35
"엘살바도르",2104000,6445405,24805439600,3889.31,2.32,29.81,6.253,13.7,75.11,35,38.9,65.7,2.1,68.08,NA
